T1-4421 M (一)
T1-4422 NU (乙)
T1-4423 MN (丁)
T1-4424 JV (七)
T1-4425 NHS (乃)
T1-4426 KN (九)
T1-4427 NN (了)
T1-4428 MM (二)
T1-4429 O (人)
T1-442A HU (儿)
T1-442B OH (入)
T1-442C HO (八)
T1-442D HN (几)
T1-442E SH (刀)
T1-442F SM (刁)
T1-4430 KS (力)
T1-4431 UM (匕)
T1-4432 J (十)
T1-4433 Y (卜)
T1-4434 NK (又)
T1-4435 MMM (三)
T1-4436 MY (下)
T1-4437 JK (丈)
T1-4438 YM (上)
T1-4439 CL (丫)
T1-443A KNI (丸)
T1-443B HNI (凡)
T1-443C NO (久)
T1-443D HI (么)
T1-443E PD (也)
T1-443F ON (乞)
T1-4440 MD (于)
T1-4441 YV (亡)
T1-4442 MU (兀)
T1-4443 SHI (刃)
T1-4444 PI (勺)
T1-4445 HJ (千)
T1-4446 EI (叉)
T1-4447 R (口)
T1-4448 G (土)
T1-4449 JM (士)
T1-444A NI (夕)
T1-444B K (大)
T1-444C V (女)
T1-444D ND (子)
T1-444E NNM (孑)
T1-444F NNO (孓)
T1-4450 DI (寸)
T1-4451 NC (小)
T1-4452 KU (尢)
T1-4453 S (尸)
T1-4454 U (山)
T1-4455 LLL (川)
T1-4456 MLM (工)
T1-4457 SU (己)
T1-4458 SU (已)
T1-4459 RU (巳)
T1-445A LB (巾)
T1-445B MJ (干)
T1-445C JJ (廾)
T1-445D IP (弋)
T1-445E N (弓)
T1-445F DH (才)
T1-4460 NG (丑)
T1-4461 MYVS (丐)
T1-4462 MF (不)
T1-4463 L (中)
T1-4464 QJ (丰)
T1-4465 BY (丹)
T1-4466 INO (之)
T1-4467 SK (尹)
T1-4468 NINN (予)
T1-4469 MMI (云)
T1-446A TT (井)
T1-446B MVNM (互)
T1-446C MDM (五)
T1-446D YHN (亢)
T1-446E OMM (仁)
T1-446F OJ (什)
T1-4470 OMN (仃)
T1-4471 OY (仆)
T1-4472 OKN (仇)
T1-4473 ONHS (仍)
T1-4474 OMN (今)
T1-4475 OLL (介)
T1-4476 MO (仄)
T1-4477 MMU (元)
T1-4478 IHU (允)
T1-4479 OB (內)
T1-447A YC (六)
T1-447B CMVS (兮)
T1-447C CI (公)
T1-447D BHN (冗)
T1-447E UK (凶)
T1-4521 CSH (分)
T1-4522 PSH (切)
T1-4523 KLN (刈)
T1-4524 PMM (勻)
T1-4525 PI (勾)
T1-4526 PHH (勿)
T1-4527 OP (化)
T1-4528 SC (匹)
T1-4529 OJ (午)
T1-452A HT (升)
T1-452B TJ (卅)
T1-452C YY (卞)
T1-452D MSU (厄)
T1-452E KE (友)
T1-452F NHE (及)
T1-4530 ME (反)
T1-4531 MG (壬)
T1-4532 MK (天)
T1-4533 QO (夫)
T1-4534 KI (太)
T1-4535 HK (夭)
T1-4536 NDU (孔)
T1-4537 FH (少)
T1-4538 IKU (尤)
T1-4539 SO (尺)
T1-453A PU (屯)
T1-453B AU (巴)
T1-453C VIS (幻)
T1-453D T (廿)
T1-453E NL (弔)
T1-453F NL (引)
T1-4540 P (心)
T1-4541 I (戈)
T1-4542 HS (戶)
T1-4543 Q (手)
T1-4544 QU (扎)
T1-4545 JE (支)
T1-4546 YK (文)
T1-4547 YJ (斗)
T1-4548 HML (斤)
T1-4549 YHS (方)
T1-454A A (日)
T1-454B A (曰)
T1-454C B (月)
T1-454D D (木)
T1-454E NO (欠)
T1-454F YLM (止)
T1-4550 MNI (歹)
T1-4551 WJ (毋)
T1-4552 PP (比)
T1-4553 HQU (毛)
T1-4554 HUP (氏)
T1-4555 E (水)
T1-4556 F (火)
T1-4557 HLO (爪)
T1-4558 CK (父)
T1-4559 KK (爻)
T1-455A LLMN (片)
T1-455B MVDH (牙)
T1-455C HQ (牛)
T1-455D IK (犬)
T1-455E MG (王)
T1-455F MOB (丙)
T1-4560 PT (世)
T1-4561 MFM (丕)
T1-4562 BM (且)
T1-4563 HLM,OM (丘)
T1-4564 YG (主)
T1-4565 OS (乍)
T1-4566 HINO (乏)
T1-4567 HFD (乎)
T1-4568 LMIO (以)
T1-4569 ODI (付)
T1-456A OND (仔)
T1-456B OG (仕)
T1-456C OPD (他)
T1-456D OJK (仗)
T1-456E OIP (代)
T1-456F ONI (令)
T1-4570 OU (仙)
T1-4571 OSHI (仞)
T1-4572 KIHU (充)
T1-4573 RHU (兄)
T1-4574 GB (冉)
T1-4575 BT (冊)
T1-4576 HEY (冬)
T1-4577 SSU (凹)
T1-4578 UU (出)
T1-4579 BSS (凸)
T1-457A MJLN (刊)
T1-457B KSR (加)
T1-457C MKS (功)
T1-457D PRU (包)
T1-457E PKK (匆)
T1-4621 LMP (北)
T1-4622 SLB (匝)
T1-4623 OHJ (仟)
T1-4624 FQ (半)
T1-4625 JT (卉)
T1-4626 YMY (卡)
T1-4627 YR (占)
T1-4628 HLSL (卯)
T1-4629 HMSU (卮)
T1-462A GI (去)
T1-462B MNR (可)
T1-462C JR (古)
T1-462D KR (右)
T1-462E SHR (召)
T1-462F RMN (叮)
T1-4630 RSL (叩)
T1-4631 RSH (叨)
T1-4632 RSM (叼)
T1-4633 SMR (司)
T1-4634 SR (叵)
T1-4635 RUL (叫)
T1-4636 RKS (另)
T1-4637 RC (只)
T1-4638 LK (史)
