T1-4421 ī,í,ì (一)
T1-4422 ǐ (乙)
T1-4423 dīng,zhēng (丁)
T1-4424 qī (七)
T1-4425 nǎi (乃)
T1-4426 jiǒu (九)
T1-4427 le,liǎo (了)
T1-4428 èr (二)
T1-4429 rén (人)
T1-442A rén (儿)
T1-442B rù,rì,rǔ (入)
T1-442C bā (八)
T1-442D jǐ,jī (几)
T1-442E dāo (刀)
T1-442F diāo (刁)
T1-4430 lì (力)
T1-4431 bǐ (匕)
T1-4432 shí (十)
T1-4433 bǔ (卜)
T1-4434 iòu (又)
T1-4435 sān,sā,sàn (三)
T1-4436 xià (下)
T1-4437 zhàng (丈)
T1-4438 shǎng,shàng (上)
T1-4439 iā (丫)
T1-443A uán (丸)
T1-443B fán (凡)
T1-443C jiǒu (久)
T1-443D iāo (么)
T1-443E yě (也)
T1-443F qǐ,qì (乞)
T1-4440 ǘ,xǖ (于)
T1-4441 uáng,ú (亡)
T1-4442 ù (兀)
T1-4443 rèn (刃)
T1-4444 sháo,shuò (勺)
T1-4445 qiān (千)
T1-4446 chā,chá,chǎ (叉)
T1-4447 kǒu (口)
T1-4448 tǔ (土)
T1-4449 shì (士)
T1-444A xì (夕)
T1-444B dà,dài,tài (大)
T1-444C nǚ,nǜ,rǔ (女)
T1-444D zǐ,zi (子)
T1-444E jié (孑)
T1-444F jüé (孓)
T1-4450 cuèn (寸)
T1-4451 xiǎo (小)
T1-4452 uāng (尢)
T1-4453 shī (尸)
T1-4454 shān (山)
T1-4455 chuān (川)
T1-4456 gōng (工)
T1-4457 jǐ (己)
T1-4458 ǐ (已)
T1-4459 sì (巳)
T1-445A jīn (巾)
T1-445B gān (干)
T1-445C gǒng (廾)
T1-445D ì (弋)
T1-445E gōng (弓)
T1-445F cái (才)
T1-4460 chǒu (丑)
T1-4461 gài (丐)
T1-4462 bù,fǒu,fōu,fū,bú (不)
T1-4463 zhōng,zhòng (中)
T1-4464 fēng (丰)
T1-4465 dān (丹)
T1-4466 zhī (之)
T1-4467 yǐn (尹)
T1-4468 ǘ,ǚ (予)
T1-4469 yún (云)
T1-446A jǐng (井)
T1-446B hù (互)
T1-446C ǔ (五)
T1-446D kàng,gāng (亢)
T1-446E rén (仁)
T1-446F shí,shén,shé (什)
T1-4470 dīng (仃)
T1-4471 pū,fù (仆)
T1-4472 chóu,qióu (仇)
T1-4473 réng (仍)
T1-4474 jīn (今)
T1-4475 jiè (介)
T1-4476 zè (仄)
T1-4477 üán (元)
T1-4478 yǔn (允)
T1-4479 nèi,nà (內)
T1-447A liòu,lù (六)
T1-447B xī (兮)
T1-447C gōng (公)
T1-447D rǒng (冗)
T1-447E xiōng (凶)
T1-4521 fēn,fèn (分)
T1-4522 qiè,qiē (切)
T1-4523 ì (刈)
T1-4524 yún (勻)
T1-4525 gōu,gòu (勾)
T1-4526 ù (勿)
T1-4527 huà,huā (化)
T1-4528 pǐ,pī (匹)
T1-4529 ǔ (午)
T1-452A shēng (升)
T1-452B sà (卅)
T1-452C biàn (卞)
T1-452D è (厄)
T1-452E iǒu (友)
T1-452F jí (及)
