U+05313	U+208FF
U+054C5	U+0357C
U+05668	U+20F96
U+056CD	U+21155
U+058C4	U+21428
U+05DF9	U+22037
U+05DFD	U+22049
U+05E50	U+03B3A
U+06267	U+22A7E
U+069E9	U+03BA3
U+069F1	U+2ACDD
U+06B04	U+237EC
U+06F78	U+23F7D
U+07162	U+03DC0
U+07174	U+07185
U+07361	U+2486F
U+07422	U+24968
U+07468	U+24A01
U+07589	U+24D01
U+07714	U+25133
U+07921	U+07934
U+07A3D	U+25874
U+07A81	U+2592E
U+07AB4	U+259D1
U+07BF9	U+25CBB
U+07C06	U+25C83
U+081ED	U+26900
U+08200	U+2695D
U+08641	U+21582
U+08641	U+27144
U+08B39	U+27AF4
U+08C6C	U+27CEF
U+09038	U+284DC
U+09094	U+2866C
U+09686	U+28E93
U+09819	U+29460
U+0985E	U+29516
U+09FBA	U+2099D
U+034A8	U+20457
U+03588	U+0439B
U+0363D	U+039B3
U+03778	U+21B6A
U+03DB7	U+2420E
U+043DE	U+2669C
U+0470C	U+09FBB
U+0FA23	U+27EAF
U+2028D	U+28940
U+204F2	U+23515
U+21018	U+2103C
U+21F37	U+2439A
U+2243D	U+263DA
U+22484	U+22485
U+232AB	U+232AD
U+23761	U+237BC
U+23F41	U+23F9E
U+24425	U+2444B
U+2458A	U+24584
U+249BC	U+249E9
U+24BD2	U+2A415
U+25F22	U+25F52
U+26133	U+22472
U+2633D	U+27B80
U+26B60	U+26B6B
U+26BF5	U+08416
U+2948B	U+2947F
U+29FCE	U+29FD7
