G2-1601	U+04E0F
G2-1602	U+0534C
G2-1603	U+0673F
G2-1604	U+0341C
G2-1605	U+05193
G2-1606	U+05961
G2-1607	U+07539
G2-1608	U+04E33
G2-1609	U+06704
G2-1610	U+04E42
G2-1611	U+0340C
G2-1612	U+0752A
G2-1613	U+0752E
G2-1614	U+0820B
G2-1615	U+0592C
G2-1616	U+053BE
G2-1617	U+04E31
G2-1618	U+03416
G2-1619	⿰卵卖
G2-1620	⿸厂义
G2-1621	U+0538E
G2-1622	U+05394
G2-1623	⿸厂⿱犬女
G2-1624	U+05396
G2-1625	⿸厂佥
G2-1626	U+05397
G2-1627	⿸厂⿱犬木
G2-1628	⿸厂⿱犬手
G2-1629	⿸厂⿱犬心
G2-1630	U+0539C
G2-1631	U+0354E
G2-1632	U+053AC
G2-1633	U+03DF3
G2-1634	U+03EFA
G2-1635	U+078FF
G2-1636	⿸厥鸟
G2-1637	U+09EE1
G2-1638	U+08652
G2-1639	U+0531C
G2-1640	U+0352F
G2-1641	U+05325
G2-1642	U+0533C
G2-1643	U+0533D
G2-1644	U+0532B
G2-1645	⿷匚单
G2-1646	U+0532C
G2-1647	U+03538
G2-1648	U+03534
G2-1649	U+05334
G2-1650	⿷匚赣
G2-1651	U+076C0
G2-1652	⿰卜鸟
G2-1653	⿱卜呙
G2-1654	U+05187
G2-1655	U+0518F
G2-1656	U+03B1F
G2-1657	U+04EDA
G2-1658	U+050F0
G2-1659	U+0808F
G2-1660	U+04EC8
G2-1661	U+04F0B
G2-1662	U+04F62
G2-1663	U+04F23
G2-1664	U+03439
G2-1665	U+201B5
G2-1666	⿰亻从
G2-1667	U+04EF1
G2-1668	U+04F00
G2-1669	U+04F06
G2-1670	U+0343D
G2-1671	U+04F08
G2-1672	U+04F04
G2-1673	U+04F03
G2-1674	U+04F45
G2-1675	U+20219	# ⿰亻戋
G2-1676	U+04F49
G2-1677	U+04F3E
G2-1678	U+03448
G2-1679	U+04F52
G2-1680	U+04F61
G2-1681	U+03447
G2-1682	U+04F2D
G2-1683	⿰亻汇
G2-1684	⿰亻讨
G2-1685	U+04F56
G2-1686	U+04F4A
G2-1687	U+201F9
G2-1688	U+04F41
G2-1689	U+04F99
G2-1690	⿰亻亚
G2-1691	U+04F87
G2-1692	U+03450
G2-1693	U+04F4C
G2-1694	U+04F8A
G2-1701	⿰亻当
G2-1702	U+0344B
G2-1703	U+04F81
G2-1704	U+04FB9
G2-1705	U+04F78
G2-1706	U+04F90
G2-1707	U+04F9C
G2-1708	U+04F7A
G2-1709	U+04F6E
G2-1710	U+04F79
G2-1711	U+04F9A
G2-1712	⿰亻负
G2-1713	U+04F6B
G2-1714	U+04F82
G2-1715	U+04F7D
G2-1716	U+04F85
G2-1717	U+04F98
G2-1718	U+2B748
G2-1719	U+04F9E
G2-1720	U+03462
G2-1721	U+03459
G2-1722	⿰亻𫇭
G2-1723	⿰亻劳
G2-1724	U+04FBC
G2-1725	U+04FC9
G2-1726	U+04FB8
G2-1727	U+04FB2
G2-1728	U+04FEB
G2-1729	⿰亻连
G2-1730	U+0345C
G2-1731	U+04FB1
G2-1732	U+04FCB
G2-1733	U+04FD9
G2-1734	U+04FB3
G2-1735	U+04FC7
G2-1736	⿰亻闲
G2-1737	U+04FBB
G2-1738	U+04FE4
G2-1739	U+04FD5
G2-1740	U+04FCD
G2-1741	U+04FF5
G2-1742	U+05030
G2-1743	U+0503B
G2-1744	U+05033
G2-1745	⿰亻卖
G2-1746	U+05037
G2-1747	U+05034
G2-1748	U+05022
G2-1749	U+04FF6
G2-1750	U+05020
G2-1751	U+05004
G2-1752	⿰亻贪
G2-1753	U+05017
G2-1754	U+0501E
G2-1755	U+05005
G2-1756	⿰亻单
G2-1757	U+05013
G2-1758	U+05027
G2-1759	U+05007
G2-1760	⿰亻参
G2-1761	U+05046
G2-1762	U+05061
G2-1763	U+0505E
G2-1764	U+0506D
G2-1765	U+05044
G2-1766	U+03460
G2-1767	U+0504D
G2-1768	U+0506E
G2-1769	⿰亻贵
G2-1770	U+05072
G2-1771	U+05054
G2-1772	U+05073
G2-1773	U+0505B
G2-1774	U+05062
G2-1775	U+0504A
G2-1776	U+0506B
G2-1777	U+0506F
G2-1778	U+202C6
G2-1779	U+05059
G2-1780	⿰亻⿳亠马𧘇
G2-1781	U+0509E
G2-1782	U+05053
G2-1783	U+05083
G2-1784	U+0508B
G2-1785	U+05089
G2-1786	U+05084
G2-1787	U+05068
G2-1788	⿰亻虑
G2-1789	U+045BA
G2-1790	U+07FDB
G2-1791	U+0509D
G2-1792	⿰亻爱
G2-1793	U+05097
G2-1794	U+05094
G2-1801	U+0509B
G2-1802	U+05095
