# -*- tab-width: 12 -*-
AR0001*	CID+14089
AR0002*
FT1604
FT1607	CID+13416
FT1608	CID+13417
FT1615	CID+13429
FT1617	CID+13432
FT1619	CID+13434
FT1623	CID+13440
FT1628	CID+13445
FT1630	CID+13448
FT1638	CID+13461
FT1639	CID+13462
FT1642	CID+13466
FT1643	CID+13471
FT1644	CID+13472
FT1659	CID+13489
FT1660	CID+13490
FT1664	CID+13494
FT1665	CID+13495
FT1666	CID+13496
FT1668	CID+13499
FT1669	CID+13502
FT1670	CID+13503
FT1671	CID+13504
FT1680	CID+13523
FT1682	CID+13526
FT1686	CID+13535
FT1690	CID+13539
FT1691	CID+13542
FT1692	CID+13546
FT1693	CID+13547
FT1694	CID+13548
FT1701	CID+13549
FT1703	CID+13553
FT1705	CID+13555
FT1706	CID+13556
FT1707	CID+13558
FT1709	CID+13560
FT1710	CID+13561
FT1711	CID+13562
FT1713	CID+13564
FT1714	CID+13568
FT1719	CID+13579
FT1723	CID+13585
FT1724	CID+13587
FT1725	CID+13589
FT1726	CID+13592
FT1728	CID+13594
FT1729	CID+13596
FT1730	CID+13597
FT1731	CID+13598
FT1732	CID+13599
FT1733	CID+13600
FT1735	CID+13602
FT1736	CID+13603
FT1737	CID+13605
FT1741	CID+13623
FT1742	CID+13624
FT1745	CID+13629
FT1746	CID+13632
FT1747	CID+13633
FT1750	CID+8266
FT1751	CID+7961
FT1752	CID+7634
FT1754	CID+7636
FT1755	CID+7637
FT1756	CID+7638
FT1757	CID+7639
FT1758	CID+7640
FT1760	CID+13650
FT1762	CID+7645
FT1764	CID+7647
FT1765	CID+7648
FT1766	CID+7649
FT1767	CID+7650
FT1769	CID+7652
FT1770	CID+7653
FT1772	CID+7655
FT1773	CID+7656
FT1774	CID+7657
FT1775	CID+7658
FT1776	CID+7659
FT1778	CID+7661
FT1779	CID+7662
FT1781	CID+7665
FT1782	CID+7666
FT1783	CID+7667
FT1784	CID+7668
FT1785	CID+7669
FT1786S	CID+7670
FT1788	CID+7672
FT1789	CID+7673
FT1790	CID+7674
FT1791S	CID+7675
FT1792	CID+7676
FT1794	CID+7678
FT1801	CID+7679
FT1803	CID+7681
FT1805	CID+7683
FT1806	CID+7684
FT1807	CID+7685
FT1808	CID+7686
FT1809	CID+7687
FT1810	CID+7688
FT1811	CID+7689
FT1812	CID+7690
FT1813	CID+7691
FT1815	CID+7694
FT1816	CID+7695
FT1817	CID+7696
FT1819	CID+7698
FT1820	CID+7699
FT1822	CID+7701
FT1823	CID+7702
FT1824	CID+7703
FT1825S	CID+7704
FT1826	CID+7705
FT1829	CID+7708
FT1830	CID+7709
FT1831	CID+7710
FT1832	CID+7711
FT1833	CID+7712
FT1834	CID+7713
FT1835	CID+7714
FT1837	CID+7716
FT1839	CID+7718
FT1840	CID+7719
FT1841	CID+7720
FT1843	CID+7722
FT1846	CID+7726
FT1848	CID+7728
FT1849	CID+7729
FT1850	CID+7730
FT1851	CID+7731
FT1853	CID+7733
FT1854	CID+7734
FT1855	CID+7735
FT1856	CID+7736
FT1857	CID+7737
FT1860	CID+7741
FT1861	CID+7742
FT1862	CID+7743
FT1863	CID+7744
FT1864	CID+7745
FT1867	CID+8267
FT1868	CID+7748
FT1869	CID+7749
FT1873	CID+7753
FT1874	CID+7754
FT1875	CID+7755
FT1876	CID+7756
FT1877S	CID+7757
FT1879	CID+7759
FT1881	CID+7761
FT1882	CID+7762
FT1884	CID+7764
FT1885	CID+7765
FT1886	CID+7766
FT1887	CID+7767
FT1890	CID+7769
FT1892	CID+7771
FT1893	CID+7772
FT1894	CID+7773
FT1901	CID+7774
FT1902	CID+7775
FT1905	CID+7778
FT1906	CID+7779
FT1907	CID+7780
FT1908	CID+7781
FT1909	CID+7782
FT1911S	CID+7784
FT1913	CID+7786
FT1914	CID+7787
FT1916	CID+7789
FT1917	CID+7790
FT1918	CID+7791
FT1919	CID+7792
FT1920	CID+7793
FT1921	CID+7794
FT1924	CID+7980
FT1926	CID+7798
FT1927	CID+7799
FT1929	CID+7801
FT1930	CID+7802
FT1931	CID+7803
FT1933	CID+7805
FT1934	CID+7806
FT1936	CID+7808
FT1937	CID+7809
FT1938	CID+7810
FT1939	CID+7811
FT1940	CID+7812
FT1942	CID+7814
FT1943	CID+7815
FT1944	CID+7816
FT1946S	CID+7818
FT1947	CID+7819
FT1948	CID+7821
FT1949	CID+7822
FT1950	CID+7823
FT1951S	CID+7824
FT1952	CID+7825
FT1953	CID+7826
FT1954	CID+7828
FT1955	CID+7829
FT1956	CID+7830
FT1959	CID+7833
FT1960	CID+7834
FT1961	CID+7835
FT1962	CID+7836
FT1964	CID+7839
FT1965	CID+7840
FT1966	CID+7841
FT1969	CID+7844
FT1970	CID+7845
FT1971	CID+7846
FT1973	CID+7848
FT1974	CID+7849
FT1975	CID+7850
FT1976
FT1977	CID+7852
FT1978	CID+7853
FT1979	CID+7854
FT1980	CID+7855
FT1981	CID+7856
FT1982	CID+7857
FT1983	CID+7858
FT1984	CID+7859
FT1985	CID+7860
FT1986	CID+7862
FT1987	CID+7863
FT1988	CID+7864
FT1989	CID+7865
FT1990	CID+7866
FT1991	CID+7868
FT1992	CID+7869
FT1993S	CID+7870
FT1994	CID+7871
FT2001S	CID+7872
FT2002	CID+7873
FT2003	CID+7874
