AR0001*	U+09FC4[U]
AR0002*	U+09FC5[U]
FT1604	U+053A9
FT1607	U+06CBF[22]
FT1608	U+0925B[22]
FT1615	U+05E30[21]
FT1617	U+05747[20]
FT1619	U+07A74[21]
FT1623	U+0516C[20]
FT1628	U+08003[20]
FT1630	U+062F7
FT1638	U+0677E[20]
FT1639	U+08A1F[20]
FT1642	U+08077
FT1643	U+08239[22]
FT1644	U+07DCF[20]
FT1659	U+073ED[20]
FT1660	U+09812[20]
FT1664	U+07DCB[20]
FT1665	=JA4080*
FT1666	U+08CA7[20]
FT1668	U+05206[20]
FT1669	U+07C89[20]
FT1670	U+07D1B
FT1671	U+096F0[20]
FT1680	U+2090E
FT1682	U+055A9[21]
FT1686	U+05DC9
FT1690	U+060D8
FT1691	=JA5714*
FT1692	U+064F2[21]
FT1693	U+0655D
FT1694	U+0665F[22]
FT1701	U+067A9[20]
FT1703	=JA6050*
FT1705	U+06A90[20]
FT1706	U+06C08[21]
FT1707	U+06E23
FT1709	U+06EFE[20]
FT1710	U+06F3E[20]
FT1711	U+071FF[20]
FT1713	=JA6474*
FT1714	U+07672
FT1719	=JA7039*
FT1723	=JA7104*
FT1724	U+081B5
FT1725	=JA7243*
FT1726	=JA7384*
FT1728	U+0889E
FT1729	=JA7474*
FT1730	U+0892B
FT1731	U+0893B
FT1732	U+0896A
FT1733	U+0896F[20]
FT1735	U+08D05
FT1736	U+08D0F[22]
FT1737	U+08E91[21]
FT1741	=JA8049*
FT1742	=JA8055*
FT1745	U+09B4D[20]
FT1746	=JA8244*
FT1747	U+09BF1[20]
FT1750	U+09022[21]
FT1751	U+082A6[20]
FT1752	U+098F4[20]
FT1754	U+09C2F[20]
FT1755	U+06DEB[20]
FT1756	U+08FC2[20]
FT1757	U+06B1D[20]
FT1758	U+053A9[27]
FT1760	U+0990C[22]
FT1762	U+08956[20]
FT1764	U+08FE6[20]
FT1765	U+06062[22]
FT1766	U+062D0
FT1767	U+06666[20]
FT1769	U+0845B[20]
FT1770	U+09784[20]
FT1772	=IA0449*
FT1773	U+07FF0[20]
FT1774	U+07FEB[20]
FT1775	U+05FBD[20]
FT1776	U+07947[20]
FT1778	U+0537F[21]
FT1779	U+050C5[20]
FT1781	U+06ADB[21]
FT1782	U+05C51[20]
FT1783	U+09774[20]
FT1784	U+07941[20]
FT1785	U+06167[21]
FT1786S	U+07A3D
FT1788	U+08346
FT1789	U+28EF6
FT1790	U+05026[20]
FT1791S	U+05ACC[20]
FT1792	U+06372[20]
FT1794	U+08AFA[20]
FT1801	U+05DF7[20]
FT1803	U+06E9D[20]
FT1805	U+09D60[20]
FT1806	U+07511
FT1807	U+091C7[20]
FT1808	U+0698A[20]
FT1809	U+06805
FT1810	U+085A9[20]
FT1811	U+09BD6[20]
FT1812	U+09306[20]
FT1813	U+073CA[22]
FT1815	U+0906E[21]
FT1816	U+06753[20]
FT1817	U+0707C[20]
FT1819	U+0914B[20]
FT1820	U+066D9[20]
FT1822	U+085AF[20]
FT1823	U+085F7[21]
FT1824	U+054E8[20]
FT1825S	U+05EE0[20]
FT1826	U+068A2[20]
FT1829	U+09798[20]
FT1830	U+08755[20]
FT1831	U+09771
FT1832	U+09017[20]
FT1833	U+07FE0[21]
FT1834	U+0647A[20]
FT1835	U+0901D[20]
FT1837	U+064B0[20]
FT1839	U+0714E[20]
FT1840	U+0717D
FT1841	U+08A6E[20]
FT1843	U+09061[20]
FT1846	U+0905C[20]
FT1848	U+0817F[20]
FT1849	U+09EDB[20]
FT1850	U+05544
FT1851	U+06FEF[20]
FT1853	U+086F8[20]
FT1854	U+05DFD[20]
FT1855	U+08FBF[20]
FT1856	U+068DA[20]
FT1857	U+09C48[20]
FT1860	U+07026[20]
FT1861	U+051CB[20]
FT1862	U+06357[20]
FT1863	U+069CC[20]
FT1864	U+0939A[20]
FT1867	U+08FBB[20]
FT1868	U+0912D[20]
FT1869	U+064E2[20]
FT1873	U+05835[20]
FT1874	U+05C60[20]
FT1875	U+083DF[27]
FT1876	U+08CED[20]
FT1877S	U+05858[20]
FT1879	U+09D07[20]
FT1881	U+0701E[20]
FT1882	U+05678
FT1884	U+09813[20]
FT1885	U+090A3[20]
FT1886	U+08B0E[20]
FT1887	U+07058[20]
FT1890	U+079B0[20]
FT1892	U+0724C[20]
FT1893	U+09019[20]
FT1894	U+079E4[20]
FT1901	U+0525D[U]
FT1902	U+07BB8[20]
FT1905	U+0633D[20]
FT1906	U+06249
FT1907	U+06A0B[20]
FT1908	U+067CA[20]
FT1909	U+07A17[20]
FT1911S	U+05A9B[20]
FT1913	U+05EDF[20]
FT1914	U+07015[20]
FT1916	U+0853D[21]
FT1917	U+077A5[20]
FT1918	U+05A29[20]
FT1919	U+05E96[20]
FT1920	U+06CE1[20]
FT1921	U+084EC[20]
FT1924	U+08FC4[20]
FT1926	U+05132[20]
FT1927	U+09905[20]
FT1929	U+09453[20]
FT1930	U+06108[20]
FT1931	U+07652[21]
FT1933	U+07194[20]
FT1934	U+08000[20]
FT1936	U+0907C[20]
FT1937	U+06F23[20]
FT1938	U+07149[20]
FT1939	U+084EE[21]
FT1940	U+06994[20]
FT1942	U+05154[22]
FT1943	U+05189[20]
FT1944	U+05195
FT1946S	U+05539[20]
FT1947	U+05533[21]
FT1948	U+05632[20]
FT1949	U+056A5
FT1950	U+0580B
FT1951S	U+05ABE[21]
FT1952	U+21A1A
FT1953	U+05C5B[U]
FT1954	U+06097
FT1955	U+06369[20]
FT1956	U+06406[20]
FT1959	U+067A6[20]
FT1960	U+067FA
FT1961	U+0689B[20]
FT1962	U+0688E
