AR0001	U+09FC4	[U+09FC4 U+E0101]
FT1607	U+06CBF	[U+06CBF U+E0105]
FT1608	U+0925B	[U+0925B U+E0105]
FT1615	U+05E30	[U+05E30 U+E0104]
FT1617	U+05747	[U+05747 U+E0103]
FT1619	U+07A74	[U+07A74 U+E0104]
FT1623	U+0516C	[U+0516C U+E0103]
FT1628	U+08003	[U+08003 U+E0103]
FT1630	U+062F7	[U+062F7 U+E0103]
FT1638	U+0677E	[U+0677E U+E0103]
FT1639	U+08A1F	[U+08A1F U+E0103]
FT1643	U+08239	[U+08239 U+E0105]
FT1644	U+07DCF	[U+07DCF U+E0103]
FT1659	U+073ED	[U+073ED U+E0103]
FT1660	U+09812	[U+09812 U+E0103]
FT1664	U+07DCB	[U+07DCB U+E0103]
FT1666	U+08CA7	[U+08CA7 U+E0103]
FT1668	U+05206	[U+05206 U+E0103]
FT1669	U+07C89	[U+07C89 U+E0103]
FT1670	U+07D1B	[U+07D1B U+E0103]
FT1671	U+096F0	[U+096F0 U+E0103]
FT1673	U+076C6	[U+076C6 U+E0103]
FT1682	U+055A9	[U+055A9 U+E0104]
FT1686	U+05DC9	[U+05DC9 U+E0103]
FT1690	U+060D8	[U+060D8 U+E0103]
FT1691	U+06268	[U+06268 U+E0102]
FT1692	U+064F2	[U+064F2 U+E0104]
FT1693	U+0655D	[U+0655D U+E0103]
FT1694	U+0665F	[U+0665F U+E0105]
FT1701	U+067A9	[U+067A9 U+E0103]
FT1705	U+06A90	[U+06A90 U+E0103]
FT1706	U+06C08	[U+06C08 U+E0104]
FT1707	U+06E23	[U+06E23 U+E0104]
FT1709	U+06EFE	[U+06EFE U+E0103]
FT1710	U+06F3E	[U+06F3E U+E0103]
FT1711	U+071FF	[U+071FF U+E0103]
FT1714	U+07672	[U+07672 U+E0103]
FT1719	U+07FE1	[U+07FE1 U+E0103]
FT1724	U+081B5	[U+081B5 U+E0104]
FT1725	U+083F2	[U+083F2 U+E0102]
FT1728	U+0889E	[U+0889E U+E0103]
FT1730	U+0892B	[U+0892B U+E0103]
FT1731	U+0893B	[U+0893B U+E0103]
FT1732	U+0896A	[U+0896A U+E0105]
FT1733	U+0896F	[U+0896F U+E0103]
FT1735	U+08D05	[U+08D05 U+E0103]
FT1736	U+08D0F	[U+08D0F U+E0105]
