AR0001	U+09FC4	B315
FT1607	U+06CBF	B41B
FT1608	U+0925B	BDD6
FT1615	U+05E30	B0AA
FT1617	U+05747	AF4B
FT1619	U+07A74	B76A
FT1623	U+0516C	ADC9
FT1628	U+08003	B8A6
FT1630	U+062F7	B1E8
FT1638	U+0677E	B2FD
FT1639	U+08A1F	BB51
FT1643	U+08239	B911
FT1644	U+07DCF	B831
FT1659	U+073ED	B5A1
FT1660	U+09812	BEEA
FT1664	U+07DCB	7DCB
FT1664	U+07DCB	B834
FT1665	U+08AB9	8AB9
FT1665	U+08AB9	BB6A
FT1666	U+08CA7	BBC2
FT1668	U+05206	AE12
FT1669	U+07C89	B7F4
FT1670	U+07D1B	B80E
FT1671	U+096F0	BE9A
FT1673	U+076C6	B636
FT1680	U+2090E	AE58
FT1682	U+055A9	AEE3
FT1686	U+05DC9	B08F
FT1690	U+060D8	B177
FT1691	U+06268	6268
FT1691	U+06268	B1DC
FT1692	U+064F2	B23C
FT1692	U+064F2	C0BB
FT1693	U+0655D	B249
FT1694	U+0665F	B29E
FT1701	U+067A9	B2F8
FT1703	U+069A7	69A7
FT1703	U+069A7	C0EA
FT1705	U+06A90	B3AA
FT1706	U+06C08	B3FD
FT1707	U+06E23	B459
FT1709	U+06EFE	B48D
FT1710	U+06F3E	B495
FT1711	U+071FF	B55B
FT1713	U+07432	7432
FT1713	U+07432	B5B5
FT1714	U+07672	B61B
FT1719	U+07FE1	7FE1
FT1719	U+07FE1	B896
FT1723	U+08153	8153
FT1723	U+08153	B8DD
FT1724	U+081B5	B8EC
FT1725	U+083F2	83F2
FT1725	U+083F2	B9BB
FT1726	U+0871A	871A
FT1726	U+0871A	BAD1
FT1728	U+0889E	BB06
FT1729	U+088F4	88F4
FT1729	U+088F4	BB10
FT1730	U+0892B	BB1E
FT1731	U+0893B	BB1F
FT1732	U+0896A	BB2A
FT1733	U+0896F	BB2E
FT1735	U+08D05	BBD4
FT1736	U+08D0F	BBDA
FT1737	U+08E91	BC05
FT1737	U+08E91	BC06
FT1741	U+09760	9760
FT1741	U+09760	BEC1
FT1742	U+09771	9771
FT1742	U+09771	BEC5
FT1745	U+09B4D	C004
FT1746	U+09BE1	9BE1
FT1746	U+09BE1	C026
FT1747	U+09BF1	C025
FT1750	U+09022	BC97
FT1751	U+082A6	B92A
FT1751	U+082A6	B92C
FT1752	U+098F4	BF1E
FT1754	U+09C2F	C035
FT1755	U+06DEB	B439
FT1756	U+08FC2	BC38
FT1757	U+06B1D	B3D5
FT1758	U+053A9	AE8F
FT1760	U+0990C	BF2A
FT1760	U+0990C	BF2B
FT1760	U+0990C	BF2C
FT1762	U+08956	BB27
FT1764	U+08FE6	BC61
FT1765	U+06062	B15E
FT1766	U+062D0	B1E5
FT1767	U+06666	B29A
FT1769	U+0845B	B9D5
FT1770	U+09784	BECB
FT1772	U+03D4E	3D4E
FT1773	U+07FF0	B89E
FT1774	U+07FEB	B89A
FT1774	U+07FEB	B89B
FT1775	U+05FBD	B142
FT1776	U+07947	B6AB
FT1778	U+0537F	AE7D
FT1779	U+050C5	AD92
FT1781	U+06ADB	B3BF
FT1782	U+05C51	B058
FT1783	U+09774	BEC8
FT1784	U+07941	B69F
FT1785	U+06167	B1A8
FT1786S	U+25874	B752
FT1788	U+08346	8346
FT1789	U+28EF6	BE82
FT1790	U+05026	AD6F
FT1791S	U+05ACC	AFF5
FT1792	U+06372	B1F7
FT1794	U+08AFA	BB70
FT1801	U+05DF7	B097
FT1803	U+06E9D	B471
FT1805	U+09D60	C050
FT1807	U+091C7	BDBA
FT1808	U+0698A	B35E
FT1809	U+06805	6805
FT1810	U+085A9	BA70
FT1811	U+09BD6	C022
FT1812	U+09306	BDF6
FT1813	U+073CA	B59C
FT1815	U+0906E	BD19
FT1816	U+06753	B2F2
FT1817	U+0707C	B510
FT1819	U+0914B	BDA2
FT1820	U+066D9	B2CC
FT1822	U+085AF	BA72
FT1823	U+085F7	BA96
FT1824	U+054E8	AEC6
FT1825S	U+05EE0	B0E9
FT1826	U+068A2	B328
FT1829	U+09798	BECD
FT1830	U+08755	BAD6
FT1831	U+09771	BEC6
FT1832	U+09017	BC96
FT1833	U+07FE0	B895
FT1834	U+0647A	B219
FT1835	U+0901D	BC9E
FT1837	U+064B0	B228
FT1839	U+0714E	B527
FT1840	U+0717D	B533
FT1841	U+08A6E	BB5C
FT1843	U+09061	BCFF
FT1846	U+0905C	BD00
FT1848	U+0817F	B8E6
FT1849	U+09EDB	C082
FT1850	U+05544	AED5
FT1850	U+05544	AED6
FT1851	U+06FEF	B4D8
FT1851	U+06FEF	B4D9
FT1853	U+086F8	BACA
FT1854	U+05DFD	B09D
FT1854	U+05DFD	C0B9
FT1855	U+08FBF	BC37
FT1856	U+068DA	B33A
FT1857	U+09C48	C03A
FT1860	U+07026	B4FB
FT1861	U+051CB	AE02
FT1862	U+06357	B1EE
FT1863	U+069CC	B360
FT1864	U+0939A	BE1C
FT1867	U+08FBB	BC2F
FT1868	U+0912D	BD9D
FT1869	U+064E2	B236
FT1873	U+05835	AF67
FT1874	U+05C60	B05A
FT1875	U+083DF	B9B4
FT1876	U+08CED	BBCC
FT1877S	U+05858	AF75
FT1879	U+09D07	C047
FT1881	U+0701E	B4F9
FT1882	U+05678	AF1B
FT1884	U+09813	BEED
FT1885	U+090A3	BD82
FT1886	U+08B0E	BB80
FT1887	U+07058	B50B
FT1890	U+079B0	B72D
FT1892	U+0724C	B574
FT1893	U+09019	BC95
FT1894	U+079E4	B737
FT1901	U+0525D	525D
FT1902	U+07BB8	B7B7
