# 「法律語彙初稿」 新造漢字一覧

# 本データは、当該書籍に記された新造漢字について、その語彙番号とIDS、そ
# して関連する法律語彙（仏語）をデータ化したものである。

番号	IDS	関連語彙
a002s	⿱口幹	ab intestat
a003s	⿱口鏖	ab irato
a004s	⿱口圠	abordage
a005s	⿱口腕	aboutissants
a009	⿱口蜿	absolution
a010	⿱口縕	abstention
a018	⿱口麀	accrue
a019	⿱口哀	accusation
a023	⿱口挨	acquêt
a026	⿱口晏	acquittoment
a027s	⿱口軋	acte
a028	⿱口邑	actif
a029s	⿱口温	action
a030s	⿳口𡖅巾	adhésion
a031s	⿱口隅	adiré
a034	⿱口鴛	adjudication
a036	⿱口恩	adoption
a042	⿱口洹	affirmation
a044	⿱口？	affrétement
a046	⿱口？	agent
a048	⿱口彎	ajournement
a050	⿱口夷	alibi
a051	⿱口琬	alienation
a054s	⿱口耘	aluvion
a057	⿱口隝	altius non tollendi
a058	⿱口𤲅	aménagement des bois
a060	⿱口？	ameublissement
a061	⿳口土	anatocism
a064	⿱口悦	antichrèse
a065	⿱口畹	anticipation
a066	⿱口禹	antidate
a067	⿱口鞍	appartenances
a072	⿱口違	approve
a077	⿱口翌	arriérages
a084	⿱口氳	assignation
a085	⿱口逸	assises
a089	⿱口通	attentat
a090s	⿱口馣	atterissement
a091	⿱口鷃	attroupement
a092s	⿱口揜	aubaime
a096	⿱口𨽈	autorité
a097s	⿱口窊	avul
b001	𠼚	bail
b005	⿰口蒲	banqueroute
b006s	⿰口幣	baraterie
b011	𠷊	bien
b011	⿱口友
b013	𠽲	bigamie
b014	𡂑	bilan
b019	⿰口湓	bon
b020s	⿰口釜	bon pére de famille
b023	⿰口？	brandou
b025	⿰口悖	brevet
c001s	⿰口渇	cabotage
c004s	⿰口閨	calomnie
c005	⿰口菅	Cantonnement das usages
c005	⿰口迭
c005	⿱幼
c008s	⿰口坤	captation
c016s	⿰口繡	cédule
c018	⿰口蓀	cession
c020	唰	charte
c025s	𠻜	chose
c028s	噀	citation
c037s	喗	collusion
c039s	⿰口肝	comman
c040s	𡅭	commandement
c043s	⿰口膏	comminatoire
c062s	⿰口菫	concussion
c063s	𠳁	condition
c065s	咭	conflit
c085s	⿰口闊	contrebande
c089	⿰口倶	contumace
c094s	⿰口髡	corruption
c098s	𠸥	crédit
c101s	⿰口街	criminalité
c103s	⿰口莒	crue
c104s	⿰口魁	culpabilité
c105s	𠰋	cumule
